,college,name,draft_rank,draft_year
63,St. John's University,Felipe Lopez,24,1998
64,University of Minnesota,Sam Jacobson,26,1998
65,Oregon State University,Corey Benjamin,28,1998
66,University of Kentucky,Nazr Mohammed,29,1998
67,University of Mississippi,Ansu Sesay,30,1998
68,University of Cincinnati,Ruben Patterson,31,1998
69,"University of California, Los Angeles",Jelani McCoy,33,1998
70,University of North Carolina,Shammond Williams,34,1998
71,Florida Agricultural and Mechanical University,Jerome James,36,1998
72,University of Toledo,Casey Shaw,37,1998
73,University of North Carolina at Charlotte,DeMarco Johnson,38,1998
74,"California State University, Fresno",Rafer Alston,39,1998
75,University of Rhode Island,Cuttino Mobley,41,1998
76,University of Arizona,Miles Simon,42,1998
77,Georgetown University,Jahidi White,43,1998
78,University of California,Sean Marks,44,1998
79,"University of California, Los Angeles",Toby Bailey,45,1998
80,Indiana University,Andrae Patterson,46,1998
81,University of Rhode Island,Tyson Wheeler,47,1998
82,University of South Carolina,Ryan Stack,48,1998
83,Texas Tech University,Cory Carr,49,1998
84,Eastern Michigan University,Derrick Dial,52,1998
85,Clemson University,Greg Buckner,53,1998
86,"California State University, Fresno",Tremaine Fowlkes,54,1998
87,University of Iowa,Ryan Bowen,55,1998
88,"University of California, Los Angeles",J.R. Henderson,56,1998
89,Xavier University,Torraye Braggs,57,1998
90,University of Michigan,Maceo Baston,58,1998
91,Duke University,Elton Brand,1,1999
92,University of Maryland,Steve Francis,2,1999
93,"University of California, Los Angeles",Baron Davis,3,1999
94,University of Rhode Island,Lamar Odom,4,1999
95,Miami University,Wally Szczerbiak,6,1999
96,University of Connecticut,Richard Hamilton,7,1999
97,University of Utah,Andre Miller,8,1999
98,"University of Nevada, Las Vegas",Shawn Marion,9,1999
99,University of Arizona,Jason Terry,10,1999
100,Duke University,Trajan Langdon,11,1999
101,Barton County Community College,Aleksandar Radojevic,12,1999
102,Duke University,Corey Maggette,13,1999
103,Duke University,William Avery,14,1999
104,St. John's University,Metta World Peace,16,1999
105,Old Dominion University,Cal Bowdler,17,1999
106,Xavier University,James Posey,18,1999
107,University of Minnesota,Quincy Lewis,19,1999
108,Georgia Institute of Technology,Dion Glover,20,1999
109,Texas State University,Jeff Foster,21,1999
110,University of New Mexico,Kenny Thomas,22,1999
111,Augsburg College,Devean George,23,1999
112,University of Miami,Tim James,25,1999
113,University of Pittsburgh,Vonteego Cummings,26,1999
114,University of Georgia,Jumaine Jones,27,1999
115,University of Kentucky,Scott Padgett,28,1999
116,Villanova University,John Celestand,30,1999
117,University of Tulsa,Michael Ruffin,32,1999
118,"California State University, Fresno",Chris Herren,33,1999
119,Northwestern University,Evan Eschmeyer,34,1999
120,Pennsylvania State University,Calvin Booth,35,1999
121,University of Maryland,Obinna Ekezie,37,1999
122,University of Maryland,Laron Profit,38,1999
123,University of Arizona,A.J. Bramlett,39,1999
124,University of California,Francisco Elson,41,1999
125,Texas Christian University,Lee Nailon,43,1999
126,University of Kansas,Ryan Robertson,45,1999
127,University of Washington,Todd MacCulloch,47,1999
128,University of Massachusetts Amherst,Lari Ketner,49,1999
129,University of Nebraska,Venson Hamilton,50,1999
130,Creighton University,Rodney Buford,53,1999
131,Stanford University,Tim Young,56,1999
132,University of Cincinnati,Kenyon Martin,1,2000
133,Louisiana State University,Stromile Swift,2,2000
134,Iowa State University,Marcus Fizer,4,2000
135,University of Florida,Mike Miller,5,2000
136,University of Cincinnati,DerMarr Johnson,6,2000
137,University of Texas at Austin,Chris Mihm,7,2000
138,University of Michigan,Jamal Crawford,8,2000
139,University of Minnesota,Joel Przybilla,9,2000
140,University of Missouri,Keyon Dooling,10,2000
141,"University of California, Los Angeles",Jerome Moiso,11,2000
142,Syracuse University,Etan Thomas,12,2000
143,"California State University, Fresno",Courtney Alexander,13,2000
144,Michigan State University,Mateen Cleaves,14,2000
145,Georgia Institute of Technology,Jason Collier,15,2000
146,Oklahoma State University,Desmond Mason,17,2000
147,DePaul University,Quentin Richardson,18,2000
148,University of Kentucky,Jamaal Magloire,19,2000
149,Hofstra University,Speedy Claxton,20,2000
150,Michigan State University,Morris Peterson,21,2000
151,University of Florida,Donnell Harvey,22,2000
152,Auburn University,Mamadou N'Diaye,26,2000
153,St. John's University,Erick Barkley,28,2000
154,Stanford University,Mark Madsen,29,2000
155,Vanderbilt University,Dan Langhi,31,2000
156,Indiana University,A.J. Guyton,32,2000
157,University of Connecticut,Jake Voskuhl,33,2000
158,University of Connecticut,Khalid El-Amin,34,2000
159,University of Louisiana at Monroe,Mike Smith,35,2000
160,Arizona State University,Eddie House,37,2000
161,University of Oklahoma,Eduardo Najera,38,2000
162,St. John's University,Lavor Postell,39,2000
163,University of Utah,Hanno Mottola,40,2000
164,Ohio State University,Michael Redd,43,2000
165,Purdue University,Brian Cardinal,44,2000
166,Louisiana State University,Jabari Smith,45,2000
