,name,per,no_of_seasons,start_age,end_age,g,mp,fg,fga,fg3,fg3a,ft,fta,orb,ast,stl,blk,tov,pf,pts,fg_pct,fg3_pct,ft_pct,mp_per_g,pts_per_g,trb_per_g,ast_per_g,height_in,weight_lb
64,Rolando Blackman,16.7,4.0,18,21,121,,755,1460,,,334,466,,323,,,,,1844,.517,,.717,,15.2,5.0,2.7,78.0,190.0
65,Albert King,13.1,4.0,18,21,118,1075,862,1673,,,334,431,,240,,,,,2058,.515,,.775,34.7,17.4,6.1,2.7,78.0,190.0
66,Frank Johnson,12.7,5.0,18,22,120,4054,708,1464,,,333,442,,460,,,,,1749,.484,,.753,33.8,14.6,2.6,3.8,73.0,185.0
67,Kelly Tripucka,16.2,4.0,18,21,112,3060,629,1148,,,461,578,,,,,,,1719,.548,,.798,27.3,15.3,5.4,,78.0,220.0
68,Danny Schayes,13.4,4.0,18,21,117,,325,587,,,315,391,,112,,,,,965,.554,,.806,,8.2,5.4,1.0,83.0,235.0
69,Herb Williams,13.6,4.0,19,22,114,4293,834,1673,,,343,513,,96,,,,,2011,.499,,.669,37.7,17.6,9.7,0.8,82.0,242.0
70,Jeff Lamp,11.5,4.0,18,21,123,4231,841,1710,,,635,748,,,,,,,2317,.492,,.849,34.4,18.8,4.2,,78.0,195.0
71,Darnell Valentine,14.0,4.0,18,21,118,3906,640,1344,,,541,754,,,,,,,1821,.476,,.718,33.1,15.4,3.6,,73.0,183.0
72,Kevin Loder,11.9,4.0,18,21,107,2592,818,1548,,,298,381,,,,,,,1934,.528,,.782,29.1,18.1,6.8,,78.0,205.0
73,Ray Tolbert,9.8,4.0,19,22,127,,593,1120,,,241,354,,,,,,,1427,.529,,.681,,11.2,6.9,,81.0,225.0
74,Mike McGee,14.0,4.0,18,21,114,1070,1010,2077,,,419,596,,,,,,,2439,.486,,.703,35.7,21.4,4.6,,77.0,190.0
75,Larry Nance,19.9,4.0,18,21,117,2958,553,1037,,,235,374,,177,,,,,1341,.533,,.628,25.3,11.5,6.7,1.5,82.0,205.0
76,Alton Lister,12.9,3.0,20,22,82,2222,395,755,,,190,311,,129,,,,,980,.523,,.611,27.1,12.0,8.2,1.6,84.0,240.0
77,Franklin Edwards,12.6,4.0,18,21,102,,906,1807,,,423,520,,,,,,,2235,.501,,.813,,21.9,3.0,,73.0,170.0
78,Charles Bradley,8.4,4.0,18,21,102,3272,652,1223,,,440,696,,,,,,,1744,.533,,.632,32.1,17.1,5.0,,77.0,215.0
79,Jay Vincent,15.9,4.0,18,21,114,2905,799,1555,,,316,481,,,,,,,1914,.514,,.657,34.2,16.8,6.2,,79.0,220.0
80,Tracy Jackson,11.8,4.0,18,21,114,2911,526,991,,,241,342,,,,,,,1293,.531,,.705,25.5,11.3,5.0,,78.0,205.0
81,Howard Wood,12.0,4.0,18,21,115,2251,453,890,,,295,368,,,,,,,1201,.509,,.802,24.7,10.4,5.2,,79.0,235.0
82,Gene Banks,15.1,4.0,18,21,124,2098,827,1558,,,425,589,,,,,,,2079,.531,,.722,35.0,16.8,7.9,,79.0,215.0
83,Eddie Johnson,15.9,4.0,18,21,121,3479,753,1658,,,186,277,,209,,,,,1692,.454,,.671,28.8,14.0,6.9,1.7,79.0,215.0
84,Ed Rains,8.2,4.0,21,24,115,3712,665,1349,,,471,676,,,,,,,1801,.493,,.697,32.3,15.7,6.3,,79.0,190.0
85,Danny Ainge,14.7,4.0,18,21,118,3118,987,1875,,,493,604,,539,,,,,2467,.526,,.816,35.4,20.9,4.6,4.6,76.0,175.0
86,Sam Williams,13.7,3.0,19,21,85,2161,357,643,,,160,274,,,,,,,874,.555,,.584,25.4,10.3,6.1,,80.0,210.0
87,Charles Davis,11.6,5.0,18,22,105,3369,683,1328,,,309,410,,,,,,,1675,.514,,.754,32.1,16.0,7.1,,79.0,215.0
88,Ray Blume,9.7,4.0,19,22,111,3369,535,992,,,218,283,,358,205,,,,1288,.539,,.770,30.4,11.6,2.5,3.2,76.0,185.0
89,Claude Gregory,12.9,4.0,19,22,110,3410,656,1492,,,433,596,,,,,,,1745,.440,,.727,31.0,15.9,8.2,,80.0,205.0
90,Elston Turner,9.6,4.0,18,21,113,4109,754,1495,,,297,419,,,,,,,1805,.504,,.709,36.4,16.0,7.3,,77.0,190.0
91,Steve Lingenfelter,3.1,4.0,18,22,79,,476,812,,,213,360,,,,,,,1165,.586,,.592,,14.7,7.8,,81.0,225.0
92,David Burns,3.6,2.0,21,22,54,1910,399,728,,,251,353,,,,,,,1049,.548,,.711,35.4,19.4,4.5,,74.0,180.0
93,Rudy Macklin,10.0,5.0,18,22,123,3965,852,1431,,,374,555,,,,,,,2078,.595,,.674,32.2,16.9,10.4,,79.0,205.0
94,Mark Radford,11.3,4.0,18,21,113,3524,549,1056,,,292,396,,,,,,,1390,.520,,.737,31.2,12.3,2.5,,76.0,190.0
95,Jim Smith,9.3,4.0,19,22,114,2812,328,638,,,133,246,,,,,,,789,.514,,.541,24.7,6.9,5.4,,81.0,225.0
96,Mickey Dillard,7.0,5.0,18,22,115,3143,643,1248,,,448,583,,,,,,,1734,.515,,.768,27.3,15.1,2.9,,75.0,170.0
97,Frank Brickowski,14.2,4.0,18,21,100,1922,328,611,,,190,241,,127,,,,,846,.537,,.788,19.2,8.5,5.3,1.3,81.0,240.0
98,Petur Gudmundsson,10.6,3.0,19,21,81,1171,217,425,,,112,156,,,,,,,546,.511,,.718,14.5,6.7,4.3,,86.0,260.0
99,Craig Dykema,11.1,2.0,20,21,59,1662,249,474,,,144,179,,,,,,,642,.525,,.804,28.2,10.9,4.6,,80.0,190.0
100,Lewis Lloyd,16.4,2.0,20,21,56,2066,622,1133,,,333,460,,,,,,,1577,.549,,.724,36.9,28.2,12.4,,78.0,205.0
101,Kenny Dennard,9.3,4.0,19,22,117,1714,452,881,,,153,260,,,,,,,1057,.513,,.588,31.7,9.0,5.7,,80.0,220.0
102,Larry Spriggs,11.3,3.0,19,21,81,,518,995,,,200,318,,,,,,,1236,.521,,.629,,15.3,8.9,,79.0,230.0
103,Pete Verhoeven,10.3,4.0,18,21,99,878,258,460,,,110,148,,,,,,,626,.561,,.743,30.3,6.3,3.6,,81.0,215.0
104,Alex Bradley,12.4,4.0,18,21,110,3462,617,1211,,,400,498,,,,,,,1634,.509,,.803,31.5,14.9,7.2,,78.0,215.0
105,Kevin McKenna,10.5,4.0,19,22,113,,597,1255,,,306,392,,,,,,,1500,.476,,.781,,13.3,3.8,,77.0,195.0
106,Joe Cooper,10.5,4.0,19,23,111,2541,548,1086,,,194,315,,,,,,,1290,.505,,.616,22.9,11.6,8.9,,82.0,230.0
107,Hank McDowell,10.0,4.0,18,21,96,2559,308,648,,,215,322,,,,,,,831,.475,,.668,26.7,8.7,5.9,,81.0,215.0
108,Garry Witts,9.5,4.0,18,21,115,1010,546,1011,,,305,385,,,,,,,1397,.540,,.792,33.7,12.1,4.8,,79.0,190.0
109,Roger Burkman,15.5,4.0,19,22,120,1727,129,308,,,177,245,,,,,,,435,.419,,.722,14.4,3.6,1.8,,77.0,175.0
110,Clinton Wheeler,12.3,2.0,20,21,52,,500,450,,,264,185,,,,,,,1264,1.111,,1.427,,24.3,,,73.0,185.0
111,Bobby Cattage,10.2,4.0,19,22,104,772,409,871,,,162,232,,,,,,,980,.470,,.698,15.4,9.4,6.2,,81.0,250.0
112,Derrick Rowland,7.0,4.0,18,21,110,,785,1286,,,277,425,,,,,,,1847,.610,,.652,,16.8,7.6,,77.0,195.0
113,James Worthy,17.7,3.0,18,20,84,,485,896,,,249,382,,208,117,94,252,211,1219,.541,,.652,,14.5,7.4,2.5,81.0,225.0
114,Terry Cummings,18.3,3.0,18,20,85,2886,549,1036,,,300,387,,144,95,112,192,266,1398,.530,,.775,34.0,16.4,10.1,1.7,81.0,220.0
115,Dominique Wilkins,21.6,3.0,20,22,78,2748,723,1365,,,242,346,,116,102,142,147,206,1688,.530,,.699,35.2,21.6,7.5,1.5,79.0,200.0
116,Bill Garnett,12.3,4.0,18,21,115,3954,574,1048,,,446,579,,,,,,,1594,.548,,.770,34.4,13.9,7.3,,81.0,225.0
117,LaSalle Thompson,13.6,3.0,18,20,87,3119,584,1056,,,295,414,,84,42,145,70,289,1463,.553,,.713,35.9,16.8,11.8,1.0,82.0,245.0
118,Trent Tucker,12.9,4.0,19,22,115,,631,1264,,,183,237,,,,,,,1445,.499,,.772,,12.6,3.4,,77.0,193.0
119,Quintin Dailey,15.1,3.0,19,21,90,1138,707,1283,,,427,572,,,,,,,1841,.551,,.747,37.9,20.5,4.8,,75.0,180.0
120,Clark Kellogg,19.3,3.0,18,20,86,3011,539,1112,,,207,268,,,106,60,264,231,1285,.485,,.772,35.0,14.9,10.1,,79.0,225.0
121,Cliff Levingston,13.8,3.0,19,21,91,2924,597,1110,,,277,446,,148,,,,,1471,.538,,.621,32.1,16.2,10.6,1.6,80.0,210.0
122,Keith Edmonson,12.6,4.0,18,21,131,3575,682,1289,,,353,467,,,,,,,1717,.529,,.756,27.3,13.1,3.4,,77.0,195.0
123,Fat Lever,17.8,4.0,18,21,113,3421,418,928,,,301,400,,444,,,,,1137,.450,,.753,30.3,10.1,4.0,3.9,75.0,170.0
124,John Bagley,13.0,3.0,19,21,91,2030,596,1201,,,437,562,,,157,12,352,211,1629,.496,,.778,32.7,17.9,3.6,,72.0,185.0
125,Sleepy Floyd,15.5,4.0,18,21,130,4342,909,1834,,,486,628,,355,,,,,2304,.496,,.774,33.4,17.7,3.7,2.7,75.0,170.0
126,Lester Conner,14.1,2.0,21,22,58,1896,219,433,,,207,287,,264,,,,,645,.506,,.721,32.7,11.1,4.9,4.6,76.0,180.0
127,David Thirdkill,8.0,3.0,19,21,94,1112,488,978,,,285,427,,,,,,,1261,.499,,.667,33.7,13.4,5.6,,79.0,195.0
128,Terry Teagle,13.7,4.0,18,21,110,,876,1628,,,437,579,,,,,,,2189,.538,,.755,,19.9,7.3,,77.0,195.0
129,Brook Steppe,12.5,3.0,19,22,77,1250,410,794,,,285,364,,,,,,,1105,.516,,.783,24.0,14.4,3.7,,77.0,195.0
130,Ricky Pierce,17.7,3.0,20,22,82,2883,746,1479,,,355,473,,94,,,,,1847,.504,,.751,35.2,22.5,7.6,1.1,76.0,205.0
131,Rob Williams,12.2,3.0,18,20,88,3129,718,1413,,,402,515,,,,,,,1838,.508,,.781,35.6,20.9,2.5,,74.0,175.0
132,Paul Pressey,15.5,2.0,22,23,63,2023,291,563,,,153,245,,,,,,,735,.517,,.624,32.1,11.7,5.9,,77.0,185.0
133,Eddie Phillips,7.5,4.0,17,20,122,3887,770,1446,,,397,609,,,,,,,1937,.533,,.652,31.9,15.9,9.3,,79.0,225.0
134,Mark McNamara,10.8,4.0,18,22,107,652,709,1119,,,332,631,,,,,,,1750,.634,,.526,26.1,16.4,9.1,,83.0,235.0
135,Darren Tillis,10.0,4.0,18,21,105,,634,1165,,,155,260,,,,,,,1423,.544,,.596,,13.6,10.0,,83.0,215.0
136,Oliver Robinson,14.1,4.0,18,21,118,3399,625,1234,,,327,442,,,,,,,1577,.506,,.740,28.8,13.4,3.6,,76.0,180.0
137,Bryan Warrick,9.0,4.0,19,22,113,3272,507,1075,,,259,355,,,,,,,1273,.472,,.730,29.0,11.3,2.5,,77.0,195.0
138,Fred Roberts,12.6,4.0,18,21,119,4058,687,1259,,,467,602,,341,,,,,1841,.546,,.776,34.1,15.5,7.0,2.9,82.0,218.0
139,Dave Magley,3.9,4.0,19,22,113,2942,418,911,,,185,234,,,,,,,1021,.459,,.791,26.0,9.0,5.3,,80.0,202.0
140,Scott Hastings,9.2,4.0,18,21,120,3880,665,1223,,,449,600,,,,,,,1779,.544,,.748,32.3,14.8,5.7,,82.0,235.0
141,Wallace Bryant,9.4,4.0,19,22,118,2543,637,1309,,,255,403,,,,,,,1529,.487,,.633,28.6,13.0,9.0,,84.0,245.0
142,Rod Higgins,13.5,4.0,19,22,104,1966,554,1042,,,294,365,,200,,,,,1402,.532,,.805,33.9,13.5,5.8,1.9,79.0,200.0
143,Richard Anderson,12.3,4.0,18,21,100,2810,508,1118,,,224,312,,,,,,,1240,.454,,.718,28.1,12.4,7.7,,82.0,240.0
144,Linton Townes,11.5,4.0,19,22,95,3096,614,1102,,,152,203,,191,,,,237,1380,.557,,.749,32.6,14.5,5.3,2.0,79.0,190.0
145,Vince Taylor,7.6,4.0,18,21,120,3184,573,1139,,,309,479,,,,,,,1455,.503,,.645,35.4,12.1,2.9,,77.0,180.0
146,Derek Smith,15.1,4.0,17,20,131,3758,722,1251,,,382,570,,,,,,,1826,.577,,.670,28.7,13.9,6.7,,78.0,205.0
147,J.J. Anderson,12.1,4.0,18,21,122,2258,976,2089,,,389,544,,,,,,,2341,.467,,.715,38.3,19.2,7.8,,80.0,195.0
148,Audie Norris,9.1,4.0,18,21,112,2808,676,1210,,,448,681,,,,,,,1800,.559,,.658,33.0,16.1,10.6,,81.0,230.0
149,Wayne Sappleton,7.7,4.0,18,21,93,2184,522,1010,,,329,455,,,,,,,1373,.517,,.723,38.3,14.8,10.5,,81.0,215.0
150,Guy Morgan,9.9,4.0,18,21,113,2948,399,708,,,330,465,,,,,,,1128,.564,,.710,26.1,10.0,6.2,,80.0,205.0
151,Dwight Anderson,10.6,4.0,18,21,79,2452,477,978,,,332,458,,,,,,,1286,.488,,.725,31.0,16.3,3.6,,75.0,185.0
152,Jeff Taylor,8.1,4.0,19,22,115,3538,560,1100,,,304,390,,,,,,,1424,.509,,.779,30.8,12.4,3.4,,76.0,175.0
153,Jose Slaughter,10.5,4.0,18,21,109,3479,799,1611,,,342,507,,,,,,,1940,.496,,.675,31.9,17.8,5.4,,77.0,205.0
154,Mike Gibson,8.6,4.0,18,21,120,,758,1390,,,206,285,,,,,,,1722,.545,,.723,,14.4,7.8,,82.0,205.0
155,Russ Schoene,11.1,2.0,20,21,59,,273,504,,,78,112,,,,,,,624,.542,,.696,,10.6,5.6,,82.0,210.0
156,Michael Wilson,10.1,4.0,19,22,119,,526,1070,,,247,341,,,,,,,1299,.492,,.724,,10.9,3.5,,76.0,175.0
157,Craig Hodges,11.8,4.0,18,21,115,3709,640,1314,,,196,264,,,,,,,1476,.487,,.742,32.3,12.8,2.5,,74.0,190.0
158,Corny Thompson,6.0,4.0,18,21,114,3962,657,1330,,,496,635,,,,,,,1810,.494,,.781,34.8,15.9,8.9,,80.0,225.0
159,Jim Johnstone,4.5,4.0,18,21,111,3025,472,780,,,173,272,,,,,,,1117,.605,,.636,27.3,10.1,5.2,,83.0,245.0
160,Jerry Eaves,11.8,4.0,19,22,129,3283,458,907,,,334,468,,,,,,,1250,.505,,.714,25.4,9.7,1.8,,76.0,180.0
161,Joe Kopicki,14.2,4.0,18,21,106,3198,525,1120,,,360,482,,,,,,,1410,.469,,.747,30.2,13.3,7.3,,81.0,240.0
162,Chris Engler,7.2,4.0,18,22,76,1526,246,455,,,93,128,,,,,,,585,.541,,.727,25.4,7.7,4.8,,83.0,245.0
163,Charles Pittman,10.1,2.0,22,23,55,1381,165,261,,,115,167,,,,,,,445,.632,,.689,25.1,8.1,5.3,,80.0,220.0
164,Chuck Nevitt,9.1,4.0,19,22,90,,109,188,,,48,105,,21,,,,,266,.580,,.457,,3.0,2.4,0.2,89.0,217.0
165,John Greig,19.9,3.0,18,20,81,2040,328,663,,,253,309,,,,,,,909,.495,,.819,25.2,11.2,5.4,,79.0,215.0
166,Perry Moss,9.2,4.0,20,23,113,2746,673,1419,,,376,516,,,,,,,1722,.474,,.729,31.6,15.2,3.7,,74.0,185.0
167,Mark Eaton,10.9,2.0,24,25,30,196,22,49,,,9,22,,,,,,,53,.449,,.409,6.5,1.8,2.4,,88.0,275.0
168,Mike Sanders,11.9,4.0,18,21,109,2700,469,872,,,272,352,,,,,,,1210,.538,,.773,24.8,11.1,5.3,,78.0,210.0
169,Chuck Aleksinas,9.1,4.0,18,22,96,2231,365,651,,,240,333,,,,,,,970,.561,,.721,23.2,10.1,5.0,,83.0,260.0
170,Walker Russell,7.5,3.0,19,21,54,186,374,787,,,178,228,,,,,,,926,.475,,.781,23.3,17.1,3.8,,77.0,195.0
171,Tony Brown,9.9,4.0,18,21,110,2133,247,432,,,105,151,,,34,1,92,75,599,.572,,.695,19.4,5.4,2.2,,78.0,185.0
172,Rory White,12.4,5.0,18,22,116,3374,732,1298,,,262,382,,,,,,,1726,.564,,.686,29.1,14.9,6.4,,80.0,210.0
173,John Schweitz,4.2,4.0,18,21,109,3299,720,1372,,,283,351,,,,,,,1723,.525,,.806,30.3,15.8,4.4,,78.0,210.0
174,Eddie Hughes,8.9,4.0,18,21,106,2799,566,1154,,,228,326,,,,,,,1360,.490,,.699,35.4,12.8,3.3,,70.0,165.0
175,Ed Nealy,10.5,4.0,18,21,123,,519,1040,,,266,380,,,,,,,1304,.499,,.700,,10.6,8.7,,79.0,238.0
176,Dale Wilkinson,-1.3,4.0,18,21,96,2132,312,614,,,141,177,,,,,,,765,.508,,.797,22.2,8.0,4.1,,82.0,220.0
177,Ralph Sampson,16.0,4.0,19,22,132,4070,899,1584,,,427,650,,157,95,462,342,369,2228,.568,,.657,30.8,16.9,11.4,1.2,88.0,228.0
178,Steve Stipanovich,15.1,4.0,19,22,128,4224,709,1319,,,418,580,,,69,149,316,411,1836,.538,,.721,33.0,14.3,7.7,,83.0,245.0
179,Rodney McCray,14.4,4.0,18,21,135,4253,485,846,,,277,400,,,151,178,283,329,1247,.573,,.693,31.5,9.2,7.6,,79.0,220.0
180,Byron Scott,15.5,3.0,18,21,90,3145,646,1274,,,280,375,,283,149,34,245,234,1572,.507,,.747,34.9,17.5,4.0,3.1,75.0,195.0
181,Sidney Green,12.1,4.0,19,22,119,3924,823,1550,4,12,423,585,,,118,67,298,387,2073,.531,.333,.723,33.0,17.4,10.7,,81.0,220.0
182,Russell Cross,15.3,3.0,19,21,93,3313,557,964,,,415,661,,,48,175,,236,1529,.578,,.628,35.6,16.4,6.7,,82.0,215.0
183,Thurl Bailey,14.3,4.0,18,21,123,2502,611,1190,10,15,263,353,,94,57,207,84,283,1495,.513,.667,.745,36.8,12.2,6.2,0.8,83.0,215.0
184,Antoine Carr,14.2,4.0,18,21,112,3360,763,1370,3,5,382,512,,243,99,209,248,385,1911,.557,.600,.746,30.0,17.1,6.9,2.2,81.0,225.0
185,Dale Ellis,16.0,4.0,19,22,118,3943,832,1399,,,401,524,,109,154,32,252,321,2065,.595,,.765,33.4,17.5,5.8,0.9,79.0,205.0
186,Jeff Malone,15.2,4.0,18,21,110,3851,906,1768,,,330,408,,168,87,5,182,305,2142,.512,,.809,35.0,19.5,3.8,1.5,76.0,205.0
187,Derek Harper,16.0,3.0,19,21,90,3175,407,851,13,24,150,214,,419,178,42,207,178,977,.478,.542,.701,35.3,10.9,3.6,4.7,76.0,185.0
188,Darrell Walker,13.7,3.0,19,21,90,3070,496,959,,,333,524,,248,230,50,344,259,1325,.517,,.635,34.1,14.7,5.1,2.8,76.0,180.0
189,Ennis Whatley,13.0,2.0,19,20,63,2105,324,651,,,214,286,,398,103,19,237,173,862,.498,,.748,33.4,13.7,3.2,6.3,75.0,177.0
190,Clyde Drexler,21.1,3.0,18,20,96,3255,595,1105,,,193,300,,303,268,82,242,322,1383,.538,,.643,33.9,14.4,9.9,3.2,79.0,210.0
191,Howard Carter,10.3,4.0,18,21,128,4364,806,1629,,,330,418,,,124,17,,337,1942,.495,,.789,34.1,15.2,4.4,,77.0,215.0
192,Jon Sundvold,12.5,4.0,18,21,128,4289,628,1273,,,341,402,,,96,8,269,235,1597,.493,,.848,33.5,12.5,2.0,,74.0,170.0
193,Leo Rautins,5.8,4.0,18,22,112,987,526,1095,,,204,265,,,61,,122,322,1256,.480,,.770,31.8,11.2,5.7,,80.0,215.0
194,Randy Breuer,13.2,4.0,19,22,119,,681,1194,,,415,569,,174,79,228,176,284,1777,.570,,.729,,14.9,6.1,1.5,87.0,230.0
195,John Paxson,12.0,4.0,19,22,112,3658,559,1062,,,248,337,,411,133,8,,228,1366,.526,,.736,32.7,12.2,1.8,3.7,74.0,185.0
196,Roy Hinson,14.7,4.0,18,21,119,3811,617,1230,,,289,477,,,69,356,,343,1523,.502,,.606,32.0,12.8,7.2,,81.0,210.0
197,Greg Kite,6.5,4.0,18,21,112,2943,291,644,,,135,268,,126,52,208,178,365,717,.452,,.504,26.3,6.4,7.6,1.1,83.0,250.0
198,Randy Wittman,11.2,5.0,19,23,133,4689,649,1238,8,18,243,312,,432,97,13,136,178,1549,.524,.444,.779,35.3,11.6,3.0,3.2,78.0,210.0
199,Mitchell Wiggins,13.8,3.0,20,23,78,2218,515,960,,,214,294,,,115,10,90,208,1244,.536,,.728,28.4,15.9,6.5,,76.0,185.0
200,Stewart Granger,8.4,4.0,18,21,125,3658,498,977,,,311,418,,,171,13,405,315,1307,.510,,.744,29.3,10.5,1.7,,75.0,190.0
201,Sidney Lowe,10.4,4.0,20,23,120,,343,728,,,318,422,,,220,7,267,274,1048,.471,,.754,,8.7,2.9,,72.0,195.0
202,Leroy Combs,13.5,4.0,19,22,99,2818,552,997,,,330,493,,,103,167,210,257,1434,.554,,.669,28.5,14.5,7.7,,80.0,210.0
203,John Garris,18.5,4.0,19,23,94,1366,380,656,,,217,303,,,41,127,111,234,977,.579,,.716,22.4,10.4,4.9,,80.0,205.0
204,Rod Foster,10.9,4.0,19,22,113,2915,528,1016,,,309,351,,,99,12,213,250,1365,.520,,.880,25.8,12.1,1.7,,73.0,160.0
205,Larry Micheaux,15.3,4.0,19,22,133,3418,554,943,,,214,387,,,137,132,203,340,1322,.587,,.553,25.7,9.9,5.9,,81.0,220.0
206,Mark West,12.0,4.0,19,22,117,3536,561,1004,,,216,420,,71,54,446,203,386,1338,.559,,.514,30.2,11.4,9.5,0.6,82.0,230.0
207,Doc Rivers,16.6,3.0,19,21,89,,518,1084,,,198,322,,409,203,45,89,267,1234,.478,,.615,,13.9,3.3,4.6,76.0,185.0
208,Dirk Minniefield,11.4,4.0,19,22,123,3566,422,805,,,225,291,,,156,9,342,348,1069,.524,,.773,29.0,8.7,2.7,,75.0,180.0
209,Guy Williams,13.6,4.0,18,22,99,2045,519,1105,,,158,250,,,81,41,107,200,1196,.470,,.632,29.2,12.1,5.1,,81.0,200.0
210,Darrell Lockhart,1.6,4.0,19,22,111,3371,537,1008,,,162,219,,,60,54,232,332,1236,.533,,.740,30.4,11.1,5.7,,81.0,245.0
211,Scooter McCray,8.3,5.0,18,22,131,3331,389,867,,,213,328,,,93,116,205,212,991,.449,,.649,25.4,7.6,5.5,,81.0,215.0
212,Chris McNealy,10.3,3.0,19,21,81,2970,504,914,,,226,354,,,,,,,1236,.551,,.638,36.7,15.3,8.4,,79.0,210.0
213,Granville Waiters,8.3,4.0,19,22,104,2215,257,473,,,87,131,,,35,136,87,204,601,.543,,.664,21.3,5.8,4.2,,83.0,225.0
214,Jim Thomas,12.5,4.0,19,22,113,,294,574,,,163,211,,,106,11,182,200,751,.512,,.773,,6.6,4.2,,75.0,190.0
215,Pace Mannion,9.4,4.0,19,22,116,3615,384,852,,,249,344,,,159,36,262,306,1017,.451,,.724,31.2,8.8,3.6,,79.0,190.0
216,Kevin Williams,10.6,4.0,18,21,102,1571,259,486,,,191,248,,,61,28,166,241,709,.533,,.770,15.4,7.0,1.5,,74.0,175.0
217,Craig Ehlo,13.4,2.0,20,21,60,1503,202,384,,,108,174,,191,91,21,167,154,512,.526,,.621,25.1,8.5,2.7,3.2,78.0,180.0
218,Paul Thompson,13.7,4.0,18,21,112,3856,754,1580,,,343,442,,,138,92,277,298,1851,.477,,.776,34.4,16.5,8.1,,78.0,210.0
219,Mike Holton,10.5,4.0,18,21,115,2934,297,581,,,217,280,,,85,18,217,246,811,.511,,.775,25.5,7.1,2.6,,76.0,185.0
220,Bob Hansen,10.0,4.0,19,22,111,,442,938,10,20,251,348,,,100,18,,243,1145,.471,.500,.721,,10.3,3.7,,78.0,190.0
221,Darren Daye,13.9,4.0,19,22,114,2799,452,815,,,245,378,,,96,27,207,203,1149,.555,,.648,24.6,10.1,4.0,,80.0,220.0
222,John Pinone,7.8,4.0,18,21,126,4330,697,1252,,,630,809,,,111,36,278,407,2024,.557,,.779,34.4,16.1,6.6,,80.0,230.0
223,Bruce Kuczenski,-0.5,4.0,18,21,114,2090,225,498,,,161,225,,,63,51,112,303,611,.452,,.716,18.3,5.4,4.0,,82.0,230.0
224,Tom Piotrowski,9.2,4.0,18,22,100,772,348,700,,,171,244,,,17,67,47,276,867,.497,,.701,24.1,8.7,4.8,,85.0,240.0
225,Ron Crevier,-31.7,4.0,20,24,56,135,41,67,,,22,56,,,3,21,26,41,104,.612,,.393,4.4,1.9,1.2,,84.0,235.0
226,Peter Thibeaux,10.5,4.0,18,21,106,,601,1067,,,288,396,,75,,73,185,340,1490,.563,,.727,,14.1,6.1,0.9,79.0,210.0
227,Mark Jones,14.7,4.0,18,21,112,2061,652,1317,,,402,498,,,119,10,189,257,1706,.495,,.807,35.5,15.2,3.2,,73.0,175.0
228,Brant Weidner,5.4,4.0,19,22,111,,310,643,,,153,212,,,39,76,128,222,773,.482,,.722,,7.0,4.4,,81.0,230.0
229,Carlos Clark,9.5,4.0,19,22,118,3848,710,1297,,,402,508,,153,130,17,217,325,1822,.547,,.791,32.6,15.4,3.9,1.3,76.0,210.0
230,Ken Austin,5.6,4.0,18,21,91,2733,379,780,,,181,307,,,118,45,240,335,939,.486,,.590,30.0,10.3,6.6,,81.0,205.0
231,Jim Lampley,8.3,4.0,18,22,80,2105,370,733,,,191,254,,,60,52,185,190,931,.505,,.752,26.3,11.6,5.9,,82.0,230.0
232,Sedale Threatt,14.7,4.0,18,21,120,951,1024,2056,,,440,608,,648,,,,,2488,.498,,.724,35.2,20.7,3.7,5.4,74.0,175.0
233,Dane Suttle,15.3,4.0,18,21,105,2997,678,1269,,,341,419,,,102,9,292,322,1702,.534,,.814,28.5,16.2,2.3,,75.0,190.0
234,Hakeem Olajuwon,23.6,3.0,19,21,100,2721,532,833,,,268,483,,88,134,454,181,315,1332,.639,,.555,27.2,13.3,10.7,0.9,84.0,255.0
235,Sam Bowie,14.6,3.0,18,22,96,2761,483,925,,,319,434,,131,50,218,230,282,1285,.522,,.735,28.8,13.4,8.8,1.4,85.0,235.0
236,Michael Jordan,27.9,3.0,18,20,101,,720,1333,34,76,314,420,,181,169,71,200,271,1788,.540,.447,.748,,17.7,5.0,1.8,78.0,195.0
237,Sam Perkins,15.5,4.0,19,22,135,4459,786,1364,12,48,561,705,,160,125,245,185,350,2145,.576,.250,.796,33.0,15.9,8.6,1.2,81.0,235.0
238,Charles Barkley,24.6,3.0,18,20,84,2322,467,746,,,249,382,,137,76,145,190,290,1183,.626,,.652,27.6,14.1,9.6,1.6,78.0,252.0
239,Melvin Turpin,14.3,4.0,20,23,123,3325,626,1059,,,257,369,,,72,226,206,322,1509,.591,,.696,27.0,12.3,5.9,,83.0,240.0
240,Alvin Robertson,17.0,3.0,19,21,88,2519,432,828,,,233,355,,341,217,25,274,298,1097,.522,,.656,28.6,12.5,4.3,3.9,75.0,185.0
241,Lancaster Gordon,9.4,4.0,18,21,134,3927,682,1353,,,250,333,,,192,40,318,254,1614,.504,,.751,29.3,12.0,2.9,,75.0,185.0
242,Otis Thorpe,16.0,4.0,18,21,113,3702,624,1086,,,377,577,,107,77,107,266,367,1625,.575,,.653,32.8,14.4,8.0,0.9,81.0,225.0
243,Leon Wood,12.6,4.0,17,21,116,3730,697,1477,28,63,559,692,,,148,15,318,220,1981,.472,.444,.808,32.2,17.1,1.8,,75.0,185.0
