,name,per,no_of_seasons,start_age,end_age,g,mp,fg,fga,fg3,fg3a,ft,fta,orb,ast,stl,blk,tov,pf,pts,fg_pct,fg3_pct,ft_pct,mp_per_g,pts_per_g,trb_per_g,ast_per_g
498,Derrick Brown,13.8,3.0,19,21,106,,395,689,54,130,252,351,,158,75,81,131,,1096,.573,.415,.718,,10.3,5.6,1.5
499,Jodie Meeks,12.9,3.0,19,21,81,,385,883,177,459,299,336,,130,86,8,108,,1246,.436,.386,.890,,15.4,3.0,1.6
500,Patrick Beverley,12.9,2.0,18,19,70,,286,681,138,361,197,270,,194,105,30,69,,907,.420,.382,.730,,13.0,5.5,2.8
501,Marcus Thornton,15.5,2.0,20,21,66,,468,1028,168,440,243,315,,117,99,23,132,,1347,.455,.382,.771,,20.4,5.5,1.8
502,Chase Budinger,13.0,3.0,18,20,100,,599,1276,190,496,309,395,,279,125,35,165,,1697,.469,.383,.782,,17.0,5.8,2.8
503,Nick Calathes,12.3,2.0,18,19,72,,380,836,131,345,279,390,,452,126,9,223,,1170,.455,.380,.715,,16.3,5.3,6.3
504,Danny Green,13.9,4.0,18,21,145,,491,1079,184,491,202,239,,256,160,154,137,,1368,.455,.375,.845,,9.4,4.1,1.8
505,Taylor Griffin,5.2,4.0,19,22,129,,298,637,13,59,245,340,,133,116,98,104,,854,.468,.220,.721,,6.6,4.8,1.0
506,A.J. Price,12.2,3.0,20,22,99,,429,1039,158,433,268,371,,469,104,5,172,,1284,.413,.365,.722,,13.0,3.4,4.7
507,Patty Mills,15.7,2.0,19,20,58,,324,780,128,387,174,216,,212,114,9,166,,950,.415,.331,.806,,16.4,2.2,3.7
508,Lester Hudson,13.0,2.0,23,24,65,,604,1324,230,619,289,337,,283,169,40,232,,1727,.456,.372,.858,,26.6,7.9,4.4
509,John Wall,19.3,1.0,19,19,37,1288,202,438,37,114,175,232,30,241,66,19,149,72,616,.461,.325,.754,34.8,16.6,4.3,6.5
510,Evan Turner,12.4,3.0,19,21,101,1108,539,1073,54,149,385,508,62,414,159,74,352,86,1517,.502,.362,.758,35.7,15.0,6.8,4.1
511,Derrick Favors,18.6,1.0,18,18,36,989,179,293,0,1,90,143,108,37,32,74,90,94,448,.611,.000,.629,27.5,12.4,8.4,1.0
512,Wesley Johnson,10.3,3.0,19,22,93,1224,462,1017,130,373,239,311,75,150,106,108,138,72,1293,.454,.349,.768,35.0,13.9,7.0,1.6
513,DeMarcus Cousins,22.3,1.0,19,19,38,893,206,369,1,6,162,268,154,38,37,67,78,122,575,.558,.167,.604,23.5,15.1,9.8,1.0
514,Ekpe Udoh,10.8,3.0,19,22,103,1264,343,726,13,45,168,259,129,154,79,292,123,87,867,.472,.289,.649,35.1,8.4,6.3,1.5
515,Greg Monroe,20.1,2.0,18,19,65,1164,345,635,9,33,243,359,74,207,99,97,189,87,942,.543,.273,.677,34.2,14.5,8.2,3.2
516,Al-Farouq Aminu,12.3,2.0,18,19,62,970,313,657,25,105,241,351,133,87,74,82,180,91,892,.476,.238,.687,31.3,14.4,9.4,1.4
517,Gordon Hayward,17.4,2.0,18,19,69,1239,298,634,116,314,280,340,72,125,88,60,138,78,992,.470,.369,.824,33.5,14.4,7.4,1.8
518,Paul George,18.2,2.0,18,19,63,962,320,716,122,308,212,264,55,151,123,58,173,84,974,.447,.396,.803,33.2,15.5,6.7,2.4
519,Cole Aldrich,17.2,3.0,19,21,111,963,391,681,0,0,256,351,110,72,59,253,133,92,1038,.574,,.729,26.8,9.4,7.7,0.6
520,Xavier Henry,9.3,1.0,18,18,36,990,162,354,69,165,90,115,43,53,54,18,69,66,483,.458,.418,.783,27.5,13.4,4.4,1.5
521,Ed Davis,16.8,2.0,19,20,61,641,210,383,0,0,142,228,66,44,24,129,86,42,562,.548,,.623,27.9,9.2,7.7,0.7
522,Patrick Patterson,13.3,3.0,18,20,97,1255,617,1054,24,73,306,417,116,146,69,152,159,61,1564,.585,.329,.734,33.0,16.1,8.2,1.5
523,Larry Sanders,15.5,3.0,19,21,101,941,415,798,4,16,210,364,106,51,59,277,155,103,1044,.520,.250,.577,26.9,10.3,7.7,0.5
524,Luke Babbitt,10.1,2.0,19,20,68,1260,445,927,75,178,351,393,70,119,59,51,146,87,1316,.480,.421,.893,37.1,19.4,8.1,1.8
525,Eric Bledsoe,17.3,1.0,20,20,37,1122,144,312,49,128,82,123,19,107,52,12,112,82,419,.462,.383,.667,30.3,11.3,3.1,2.9
526,Avery Bradley,12.1,1.0,19,19,34,1003,159,368,42,112,36,66,33,71,44,18,52,80,396,.432,.375,.545,29.5,11.6,2.9,2.1
527,James Anderson,9.9,3.0,18,20,101,1124,583,1268,225,600,420,527,64,163,112,60,212,88,1811,.460,.375,.797,34.1,17.9,5.1,1.6
528,Craig Brackins,3.1,3.0,20,22,96,1124,572,1285,69,236,326,449,67,153,52,99,196,64,1539,.445,.292,.726,35.1,16.0,7.7,1.6
529,Elliot Williams,9.5,2.0,19,20,68,1133,234,515,69,200,217,302,25,151,66,5,129,69,754,.454,.345,.719,33.3,11.1,3.1,2.2
530,Trevor Booker,15.0,4.0,19,22,134,984,687,1228,23,71,328,526,89,224,144,249,189,63,1725,.559,.324,.624,30.8,12.9,7.9,1.7
531,Damion James,8.5,4.0,19,22,142,1029,705,1473,103,283,404,631,107,163,137,163,207,100,1917,.479,.364,.640,30.3,13.5,9.3,1.1
532,Dominique Jones,11.9,3.0,19,21,95,1224,592,1339,160,495,453,615,37,328,144,39,249,93,1797,.442,.323,.737,37.1,18.9,5.4,3.5
533,Quincy Pondexter,9.9,4.0,18,21,136,1162,652,1297,54,165,428,557,107,230,107,45,193,90,1786,.503,.327,.768,32.3,13.1,5.6,1.7
534,Jordan Crawford,13.8,2.0,19,21,65,1147,367,806,109,284,166,217,34,170,75,13,143,57,1009,.455,.384,.765,32.8,15.5,4.1,2.6
535,Greivis Vasquez,13.7,4.0,20,23,136,1120,751,1769,230,699,439,530,38,772,191,39,358,69,2171,.425,.329,.828,33.9,16.0,4.8,5.7
536,Daniel Orton,11.9,1.0,19,19,38,502,48,91,0,2,33,63,45,15,21,53,38,88,129,.527,.000,.524,13.2,3.4,3.3,0.4
537,Lazar Hayward,9.0,4.0,20,23,138,1097,667,1476,169,473,356,451,72,122,158,43,195,115,1859,.452,.357,.789,32.3,13.5,6.6,0.9
538,Dexter Pittman,9.1,4.0,18,21,134,648,337,541,0,0,208,346,101,38,33,124,132,90,882,.623,,.601,19.1,6.6,3.9,0.3
539,Hassan Whiteside,24.5,1.0,20,20,34,889,167,319,3,5,110,187,92,10,19,182,64,82,447,.524,.600,.588,26.1,13.1,8.9,0.3
540,Armon Johnson,10.4,3.0,18,20,101,1172,546,1168,70,242,279,372,26,445,83,25,276,61,1441,.467,.289,.750,34.5,14.3,3.7,4.4
541,Darington Hobson,-3.3,1.0,22,22,35,1175,193,439,39,108,130,199,74,160,44,15,104,68,555,.440,.361,.653,33.6,15.9,9.3,4.6
542,Andy Rautins,-1.2,4.0,19,23,127,1137,360,908,282,754,119,156,18,347,172,22,171,76,1121,.396,.374,.763,32.5,8.8,2.6,2.7
543,Landry Fields,12.1,4.0,18,21,129,1161,499,1078,103,301,292,432,81,210,111,54,173,65,1393,.463,.342,.676,36.3,10.8,5.0,1.6
544,Lance Stephenson,12.1,1.0,19,19,34,960,162,368,16,73,79,119,63,84,31,6,81,66,419,.440,.219,.664,28.2,12.3,5.4,2.5
545,Jarvis Varnado,11.5,4.0,18,21,141,1141,548,930,1,4,306,514,107,89,76,564,172,88,1403,.589,.250,.595,31.7,10.0,7.8,0.6
546,Devin Ebanks,9.6,2.0,19,20,69,1161,276,596,8,70,215,292,99,176,65,48,142,54,775,.463,.114,.736,34.1,11.2,7.9,2.6
547,Jerome Jordan,17.1,4.0,20,23,133,1043,547,964,0,0,414,595,84,113,48,333,252,98,1508,.567,,.696,29.8,11.3,7.4,0.8
548,Gani Lawal,-9.1,3.0,19,21,99,930,446,814,0,3,275,498,105,43,59,127,211,76,1167,.548,.000,.552,25.8,11.8,7.2,0.4
549,Solomon Alabi,10.3,3.0,19,21,77,820,270,506,0,1,164,220,79,28,39,159,128,75,704,.534,.000,.745,25.6,9.1,5.4,0.4
550,Luke Harangody,10.2,4.0,19,22,129,989,936,1968,42,129,562,719,67,210,99,95,192,70,2476,.476,.326,.782,33.0,19.2,9.5,1.6
551,Willie Warren,10.8,2.0,19,20,57,678,278,606,97,277,215,273,14,199,62,3,160,48,868,.459,.350,.788,32.3,15.2,2.6,3.5
552,Jeremy Evans,17.4,4.0,19,22,134,901,427,668,12,33,199,291,101,72,84,224,106,98,1065,.639,.364,.684,26.5,7.9,5.9,0.5
553,Hamady N'Diaye,3.9,4.0,20,23,124,907,267,495,0,2,184,311,76,48,47,358,144,92,718,.539,.000,.592,28.3,5.8,5.5,0.4
554,Ryan Reid,17.6,4.0,20,23,126,2539,236,477,1,1,151,250,213,85,68,71,206,244,624,.495,1.000,.604,20.2,5.0,3.9,0.7
555,Derrick Caracter,10.0,3.0,18,21,79,720,314,558,5,16,177,282,72,51,53,61,140,82,810,.563,.313,.628,26.7,10.3,5.6,0.6
556,Kyrie Irving,20.9,1.0,18,18,11,303,55,104,18,39,64,71,6,47,16,6,27,23,192,.529,.462,.901,27.5,17.5,3.4,4.3
557,Derrick Williams,13.6,2.0,18,19,69,2016,388,662,46,90,405,563,173,65,56,46,160,184,1227,.586,.511,.719,29.2,17.8,7.7,0.9
558,Tristan Thompson,15.3,1.0,19,19,36,1104,172,315,0,0,127,261,138,45,34,86,64,100,471,.546,,.487,30.7,13.1,7.8,1.3
559,Brandon Knight,14.3,1.0,19,19,38,1363,217,513,87,231,136,171,25,159,25,8,120,83,657,.423,.377,.795,35.9,17.3,4.0,4.2
560,Kemba Walker,18.5,3.0,18,20,111,2740,578,1350,126,387,501,640,85,460,185,28,258,115,1783,.428,.326,.783,36.5,16.1,4.4,4.1
561,Jimmer Fredette,12.6,4.0,18,21,139,2382,838,1843,296,752,627,711,49,515,167,12,350,85,2599,.455,.394,.882,33.5,18.7,2.6,3.7
562,Klay Thompson,16.1,3.0,18,20,98,2275,599,1414,242,620,316,382,62,259,130,74,289,174,1756,.424,.390,.827,35.0,17.9,4.8,2.6
563,Alec Burks,14.0,2.0,18,19,68,2100,423,855,47,150,398,495,149,165,76,24,157,163,1291,.495,.313,.804,30.9,19.0,5.8,2.4
564,Markieff Morris,14.5,3.0,19,21,109,1558,341,617,38,94,203,311,166,126,60,103,172,200,923,.553,.404,.653,21.1,8.5,6.1,1.2
565,Kawhi Leonard,21.5,2.0,18,19,70,2236,377,840,41,164,195,262,230,156,98,45,153,174,990,.449,.250,.744,31.9,14.1,10.2,2.2
566,Nikola Vucevic,19.3,3.0,18,20,87,2409,367,721,37,122,191,256,213,97,45,95,129,212,962,.509,.303,.746,27.7,11.1,8.0,1.1
567,Iman Shumpert,10.3,3.0,18,20,92,1896,387,977,111,364,281,381,80,382,207,17,280,155,1166,.396,.305,.738,31.1,12.7,4.5,4.2
568,Chris Singleton,8.2,3.0,19,21,95,1819,336,802,104,315,199,336,124,140,180,136,227,185,975,.419,.330,.592,30.3,10.3,6.2,1.5
569,Tobias Harris,16.3,1.0,18,18,34,993,185,402,23,76,128,170,67,44,24,29,62,70,521,.460,.303,.753,29.2,15.3,7.3,1.3
570,Nolan Smith,7.5,4.0,19,22,143,2608,668,1491,166,451,411,514,79,406,142,19,292,139,1913,.448,.368,.800,34.8,13.4,2.8,2.8
571,Kenneth Faried,19.7,4.0,18,21,136,2276,783,1376,3,12,440,755,348,117,228,241,304,223,2009,.569,.250,.583,32.5,14.8,12.3,0.9
572,Reggie Jackson,16.6,3.0,18,20,99,2095,455,979,121,345,223,296,94,350,83,46,203,120,1254,.465,.351,.753,32.2,12.7,4.4,3.5
573,MarShon Brooks,13.4,4.0,19,22,113,1992,587,1265,158,475,297,402,127,175,129,81,207,152,1629,.464,.333,.739,31.6,14.4,4.3,1.5
574,Jordan Hamilton,13.4,2.0,19,20,70,1835,366,852,148,393,132,186,106,126,58,35,124,107,1012,.430,.377,.710,26.2,14.5,5.7,1.8
575,JaJuan Johnson,11.4,4.0,18,21,140,2296,706,1410,15,60,492,662,164,95,93,263,188,124,1919,.501,.250,.743,33.3,13.7,6.1,0.7
576,Norris Cole,9.3,4.0,19,22,140,2412,677,1555,139,433,485,587,41,455,207,11,283,168,1978,.435,.321,.826,35.0,14.1,3.2,3.3
577,Cory Joseph,13.7,1.0,19,19,36,1166,136,322,52,126,51,73,23,109,37,11,54,65,375,.422,.413,.699,32.4,10.4,3.6,3.0
578,Jimmy Butler,18.8,3.0,19,21,106,2447,390,768,36,94,461,596,172,180,115,50,110,117,1277,.508,.383,.773,34.5,12.0,5.5,1.7
579,Justin Harper,3.2,4.0,18,21,137,2052,537,1111,179,468,204,287,119,102,76,113,172,164,1457,.483,.382,.711,28.5,10.6,4.8,0.7
580,Kyle Singler,9.6,4.0,19,22,148,2722,814,1879,267,736,497,643,178,293,168,107,316,184,2392,.433,.363,.773,35.4,16.2,6.9,2.0
581,Shelvin Mack,12.5,3.0,18,20,108,2392,515,1228,216,605,281,372,47,357,118,9,239,137,1527,.419,.357,.755,31.5,14.1,4.2,3.3
582,Tyler Honeycutt,8.1,2.0,19,20,59,1873,213,494,65,181,117,171,103,163,68,98,163,112,608,.431,.359,.684,31.7,10.3,6.9,2.8
583,Jordan Williams,14.5,2.0,19,20,66,1890,339,642,0,0,195,349,215,28,47,77,84,170,873,.528,,.559,28.6,13.2,10.2,0.4
584,Trey Thompkins,12.0,3.0,18,20,89,1899,535,1141,79,221,247,339,121,124,90,117,235,148,1396,.469,.357,.729,31.1,15.7,7.8,1.4
585,Chandler Parsons,15.3,4.0,19,22,142,2283,527,1105,153,454,245,401,151,339,129,42,234,137,1452,.477,.337,.611,32.6,10.2,6.0,2.4
586,Jon Leuer,15.3,4.0,18,21,123,1830,518,1074,100,272,240,332,92,135,51,85,142,125,1376,.482,.368,.723,31.6,11.2,4.5,1.1
587,Darius Morris,7.7,2.0,19,20,67,1996,253,539,23,103,137,197,45,319,56,6,154,135,666,.469,.223,.695,29.8,9.9,2.9,4.8
588,Malcolm Lee,9.5,3.0,18,20,94,2205,312,707,71,255,218,304,63,184,72,20,161,154,913,.441,.278,.717,33.9,9.7,3.0,2.0
589,Charles Jenkins,10.7,4.0,18,21,128,2466,847,1856,180,471,639,788,56,489,213,71,385,155,2513,.456,.382,.811,36.8,19.6,4.3,3.8
590,Josh Harrellson,13.4,3.0,19,21,94,1171,185,337,9,29,61,94,149,39,46,84,60,99,440,.549,.310,.649,19.5,4.7,4.7,0.4
591,Andrew Goudelock,8.6,4.0,19,22,140,2512,956,2092,396,958,263,314,50,424,130,37,311,124,2571,.457,.413,.838,35.4,18.4,3.3,3.0
592,Travis Leslie,14.6,3.0,18,20,90,1974,417,866,19,57,246,331,202,191,101,63,180,128,1099,.482,.333,.743,30.8,12.2,6.1,2.1
593,Keith Benson,6.0,4.0,19,22,135,2228,684,1226,11,29,524,772,204,94,68,369,183,212,1903,.558,.379,.679,31.8,14.1,8.2,0.7
594,Josh Selby,2.7,1.0,19,19,26,530,72,193,34,94,28,37,10,56,21,1,53,44,206,.373,.362,.757,20.4,7.9,2.2,2.2
595,Lavoy Allen,12.3,4.0,18,21,135,2326,592,1109,19,66,218,325,212,281,72,213,189,153,1421,.534,.288,.671,34.2,10.5,8.5,2.1
596,Vernon Macklin,18.2,4.0,20,24,136,1764,439,720,0,1,115,253,173,94,42,83,135,172,993,.610,.000,.455,24.8,7.3,3.7,0.7
597,DeAndre Liggins,7.7,3.0,20,22,100,1646,194,477,62,187,126,196,40,212,90,50,147,136,576,.407,.332,.643,24.6,5.8,3.0,2.1
598,E'Twaun Moore,11.0,4.0,18,21,140,2255,780,1774,243,639,333,457,83,400,164,59,289,150,2136,.440,.380,.729,32.7,15.3,4.4,2.9
599,Isaiah Thomas,20.5,3.0,19,21,105,2204,554,1301,164,505,449,630,46,415,122,7,279,142,1721,.426,.325,.713,31.5,16.4,3.5,4.0
600,Anthony Davis,26.6,1.0,18,18,40,1281,210,337,3,20,144,203,119,50,54,186,41,78,567,.623,.150,.709,32.0,14.2,10.4,1.3
601,Michael Kidd-Gilchrist,13.7,1.0,18,18,40,1245,160,326,13,51,143,192,103,75,39,37,87,97,476,.491,.255,.745,31.1,11.9,7.4,1.9
602,Bradley Beal,15.0,1.0,18,18,37,1267,175,393,63,186,133,173,50,83,51,31,79,76,546,.445,.339,.769,34.2,14.8,6.7,2.2
603,Dion Waiters,11.7,2.0,19,20,71,1445,248,547,69,198,125,166,30,142,105,16,78,115,690,.453,.348,.753,20.4,9.7,1.9,2.0
604,Thomas Robinson,13.8,3.0,18,20,105,1960,395,753,7,14,229,378,221,101,63,74,173,217,1026,.525,.500,.606,18.7,9.8,7.3,1.0
605,Damian Lillard,19.8,4.0,18,21,104,2452,584,1310,246,630,520,600,34,362,129,19,246,143,1934,.446,.390,.867,33.6,18.6,4.3,3.5
606,Harrison Barnes,12.6,2.0,18,19,75,2198,438,1018,116,332,234,319,149,96,68,29,146,140,1226,.430,.349,.734,29.3,16.3,5.5,1.3
607,Terrence Ross,12.2,2.0,19,20,69,1681,317,700,116,319,97,127,77,82,63,45,94,168,847,.453,.364,.764,24.4,12.3,4.7,1.2
608,Andre Drummond,21.7,1.0,18,18,34,967,157,292,0,2,26,88,114,15,28,92,52,75,340,.538,.000,.295,28.4,10.0,7.6,0.4
609,Austin Rivers,10.0,1.0,19,19,34,1129,174,402,58,159,121,184,21,71,33,1,79,76,527,.433,.365,.658,33.2,15.5,3.4,2.1
610,Meyers Leonard,11.6,2.0,18,19,65,1290,198,349,1,12,105,144,83,48,20,73,94,144,502,.567,.083,.729,19.8,7.7,4.7,0.7
611,Jeremy Lamb,14.7,2.0,18,19,75,2406,399,828,117,336,145,180,82,124,77,46,120,121,1060,.482,.348,.806,32.1,14.1,4.7,1.7
612,Kendall Marshall,10.7,2.0,19,20,73,2101,181,406,48,131,113,163,12,581,83,9,193,106,523,.446,.366,.693,28.8,7.2,2.3,8.0
613,John Henson,17.6,3.0,19,21,109,2594,475,955,5,24,169,349,269,108,69,277,166,159,1124,.497,.208,.484,23.8,10.3,8.1,1.0
614,Maurice Harkless,12.2,1.0,18,18,32,1155,193,427,17,79,94,139,88,47,51,45,80,74,497,.452,.215,.676,36.1,15.5,8.6,1.5
615,Royce White,-8.3,1.0,20,20,34,1072,175,328,4,12,102,205,85,170,40,32,130,89,456,.534,.333,.498,31.5,13.4,9.3,5.0
616,Tyler Zeller,14.8,4.0,19,22,117,2579,548,1010,0,2,407,525,305,69,78,130,165,251,1503,.543,.000,.775,25.3,12.8,6.7,0.6
617,Terrence Jones,17.1,2.0,19,20,76,2311,383,820,42,128,256,401,188,111,92,140,137,182,1064,.467,.328,.638,30.4,14.0,8.0,1.5
618,Andrew Nicholson,12.4,4.0,19,22,123,2918,809,1407,29,77,456,633,207,87,61,244,296,272,2103,.575,.377,.720,31.4,17.1,7.2,0.7
619,Jared Sullinger,16.4,2.0,18,19,74,2295,450,849,19,52,363,495,247,89,80,59,130,199,1282,.530,.365,.733,31.0,17.3,9.7,1.2
620,Fab Melo,4.9,2.0,20,21,63,1090,132,229,0,0,47,85,102,29,25,113,68,145,311,.576,,.553,17.3,4.9,3.8,0.5
621,John Jenkins,12.0,3.0,18,20,98,2998,516,1102,306,699,320,374,41,111,67,27,130,122,1658,.468,.438,.856,30.6,16.9,2.7,1.1
622,Jared Cunningham,6.8,3.0,18,20,98,2733,380,835,84,244,427,566,93,193,219,24,251,247,1271,.455,.344,.754,27.9,13.0,3.0,2.0
623,Tony Wroten,12.6,1.0,18,18,35,1062,198,447,9,56,154,264,80,130,66,13,132,93,559,.443,.161,.583,30.3,16.0,5.0,3.7
624,Miles Plumlee,14.4,4.0,20,23,135,1968,262,470,1,1,125,200,235,45,62,87,138,269,650,.557,1.000,.625,17.7,4.8,4.8,0.3
625,Arnett Moultrie,14.1,3.0,18,21,100,2028,441,863,28,97,232,343,175,100,101,85,206,139,1142,.511,.289,.676,32.2,11.4,8.4,1.0
626,Perry Jones,8.5,2.0,19,20,63,2030,344,659,12,43,162,239,168,78,44,47,125,148,862,.522,.279,.678,32.2,13.7,7.4,1.2
627,Marquis Teague,4.8,1.0,18,18,40,1303,145,352,26,80,85,119,17,191,37,11,109,91,401,.412,.325,.714,32.6,10.0,2.5,4.8
628,Festus Ezeli,13.4,4.0,19,22,121,1808,330,587,0,0,274,469,187,18,41,205,195,256,934,.562,,.584,19.7,7.7,4.5,0.1
629,Jeff Taylor,8.9,4.0,19,22,134,3118,665,1378,115,321,452,652,198,252,146,60,309,237,1897,.483,.358,.693,30.3,14.2,5.6,1.9
630,Bernard James,13.8,2.0,25,26,69,1698,274,437,0,0,123,233,181,24,55,164,123,124,671,.627,,.528,24.6,9.7,7.0,0.3
631,Jae Crowder,13.7,2.0,20,21,72,2174,375,762,103,294,196,287,153,131,136,67,74,178,1049,.492,.350,.683,30.2,14.6,7.6,1.8
632,Draymond Green,15.7,4.0,18,21,145,3197,543,1163,91,252,340,495,244,425,180,116,277,330,1517,.467,.361,.687,29.6,10.5,7.6,2.9
633,Orlando Johnson,8.5,4.0,18,22,124,3071,738,1615,222,568,510,708,157,319,112,68,324,196,2208,.457,.391,.720,33.0,17.8,5.6,2.6
634,Quincy Acy,12.6,4.0,18,21,139,2930,503,835,3,7,351,496,251,86,102,177,214,280,1360,.602,.429,.708,27.9,9.8,6.0,0.6
635,Quincy Miller,8.4,1.0,19,19,37,903,138,309,24,69,93,114,54,53,25,24,66,69,393,.447,.348,.816,24.4,10.6,4.9,1.4
636,Khris Middleton,14.8,3.0,18,20,87,2263,340,789,92,287,209,272,131,175,87,17,173,187,981,.431,.321,.768,26.0,11.3,4.6,2.0
637,Will Barton,14.2,2.0,20,21,70,2306,397,842,76,254,192,262,119,201,104,42,164,154,1062,.471,.299,.733,32.9,15.2,6.5,2.9
638,Tyshawn Taylor,5.8,4.0,18,21,146,3111,551,1156,120,324,358,506,36,575,172,31,379,226,1580,.477,.370,.708,28.0,10.8,2.2,3.9
639,Doron Lamb,6.3,2.0,19,20,78,2327,336,693,144,303,202,249,34,122,41,8,94,157,1018,.485,.475,.811,29.8,13.1,2.3,1.6
640,Mike Scott,14.7,5.0,19,23,130,2104,585,1122,16,44,352,454,172,124,85,51,211,126,1538,.521,.364,.775,30.1,11.8,7.3,1.0
641,Kim English,7.9,4.0,20,23,141,2862,515,1227,239,606,301,414,75,204,151,28,236,199,1570,.420,.394,.727,27.8,11.1,3.0,1.4
642,Justin Hamilton,13.6,3.0,18,21,96,1653,289,540,3,12,177,239,192,45,36,93,101,154,758,.535,.250,.741,25.8,7.9,5.2,0.5
643,Darius Miller,7.3,4.0,18,21,152,3025,444,990,175,462,185,227,120,278,114,100,214,259,1248,.448,.379,.815,26.1,8.2,3.2,1.8
644,Kevin Murphy,-4.5,4.0,18,21,128,3108,706,1594,191,513,416,567,85,249,102,24,381,218,2019,.443,.372,.734,31.7,15.8,4.2,1.9
645,Kyle O'Quinn,16.7,4.0,18,21,129,3024,610,1104,54,207,333,486,301,122,69,283,262,325,1607,.553,.261,.685,30.9,12.5,8.5,0.9
646,Kris Joseph,0.6,4.0,20,23,140,3267,491,1094,112,338,382,544,154,208,179,67,217,189,1476,.449,.331,.702,30.8,10.5,4.5,1.5
647,Darius Johnson-Odom,-18.4,3.0,20,22,105,3238,558,1257,221,549,312,432,56,262,93,17,223,237,1649,.444,.403,.722,30.8,15.7,3.1,2.5
648,Robbie Hummel,9.6,4.0,18,22,127,1945,583,1315,216,555,390,464,99,268,131,112,138,130,1772,.443,.389,.841,31.4,14.0,6.8,2.1
649,Robert Sacre,10.8,5.0,18,22,136,2633,409,812,1,4,451,614,216,91,70,186,220,264,1270,.504,.250,.735,25.8,9.3,5.0,0.7
650,Anthony Bennett,10.3,1.0,19,19,35,950,202,379,36,96,124,177,86,34,24,43,65,80,564,.533,.375,.701,27.1,16.1,8.1,1.0
651,Victor Oladipo,15.2,3.0,18,20,104,2558,406,754,48,142,257,359,207,175,161,56,203,248,1117,.538,.338,.716,24.6,10.7,5.2,1.7
652,Otto Porter,14.1,2.0,18,19,64,2077,293,588,55,155,181,241,121,135,94,55,85,125,822,.498,.355,.751,32.5,12.8,7.1,2.1
653,Cody Zeller,15.0,2.0,19,20,72,2087,399,674,0,2,359,475,188,92,86,87,141,177,1157,.592,.000,.756,29.0,16.1,7.3,1.3
654,Alex Len,12.9,2.0,18,19,60,1470,225,418,1,9,132,199,145,50,12,125,93,155,583,.538,.111,.663,24.5,9.7,7.0,0.8
655,Nerlens Noel,15.8,1.0,18,18,24,765,98,166,0,0,55,104,65,38,50,106,45,62,251,.590,,.529,31.9,10.5,9.5,1.6
656,Ben McLemore,8.9,1.0,19,19,37,1191,198,400,73,174,120,138,47,73,37,25,77,69,589,.495,.420,.870,32.2,15.9,5.2,2.0
657,Kentavious Caldwell-Pope,11.9,2.0,18,19,64,2114,338,814,149,439,188,250,82,96,123,28,100,139,1013,.415,.339,.752,33.0,15.8,6.1,1.5
658,Trey Burke,12.7,2.0,19,20,73,2605,436,969,133,362,226,291,43,416,93,33,180,126,1231,.450,.367,.777,35.7,16.9,3.3,5.7
659,C.J. McCollum,17.0,4.0,18,21,111,3657,767,1746,217,576,610,739,167,304,228,51,267,195,2361,.439,.377,.825,32.9,21.3,6.3,2.7
660,Michael Carter-Williams,14.3,2.0,20,21,66,1678,180,452,42,137,142,209,60,345,129,27,154,117,544,.398,.307,.679,25.4,8.2,3.6,5.2
661,Steven Adams,14.7,1.0,19,19,32,749,100,175,0,0,31,70,90,20,21,65,35,52,231,.571,,.443,23.4,7.2,6.3,0.6
662,Kelly Olynyk,15.6,3.0,18,21,101,1735,338,569,25,75,202,285,152,107,52,46,140,197,903,.594,.333,.709,17.2,8.9,4.6,1.1
663,Shabazz Muhammad,15.6,1.0,20,20,32,987,202,456,40,106,128,180,87,27,23,4,51,53,572,.443,.377,.711,30.8,17.9,5.2,0.8
664,Shane Larkin,11.6,2.0,19,20,68,2131,256,585,101,269,147,182,35,245,121,6,142,111,760,.438,.375,.808,31.3,11.2,3.2,3.6
665,Tony Snell,8.5,3.0,19,21,104,2583,311,738,165,434,165,201,41,213,53,36,154,122,952,.421,.380,.821,24.8,9.2,2.4,2.0
666,Gorgui Dieng,16.5,3.0,21,23,102,2789,338,620,1,3,174,272,304,127,104,267,166,280,851,.545,.333,.640,27.3,8.3,7.9,1.2
667,Mason Plumlee,18.1,4.0,19,22,141,3652,525,915,2,10,332,569,333,212,115,199,282,347,1384,.574,.200,.583,25.9,9.8,7.7,1.5
668,Solomon Hill,9.7,4.0,18,21,139,4030,487,1012,115,307,341,458,250,304,127,49,290,339,1430,.481,.375,.745,29.0,10.3,5.6,2.2
669,Tim Hardaway,12.6,3.0,18,20,107,3560,527,1239,202,589,276,381,62,225,76,33,182,212,1532,.425,.343,.724,33.3,14.3,4.1,2.1
670,Reggie Bullock,8.8,3.0,19,21,100,2457,358,815,188,486,85,118,156,169,87,21,94,121,989,.439,.387,.720,24.6,9.9,5.0,1.7
671,Andre Roberson,9.3,3.0,19,21,105,2970,382,741,50,143,198,340,309,119,164,150,183,274,1012,.516,.350,.582,28.3,9.6,10.0,1.1
672,Archie Goodwin,11.1,1.0,18,18,33,1048,157,357,17,64,135,212,48,88,36,15,101,97,466,.440,.266,.637,31.8,14.1,4.6,2.7
673,Allen Crabbe,11.1,3.0,18,20,98,3402,533,1195,209,547,262,320,85,219,84,57,182,165,1537,.446,.382,.819,34.7,15.7,5.7,2.2
