,name,per,no_of_seasons,start_age,end_age,g,mp,fg,fga,fg3,fg3a,ft,fta,orb,ast,stl,blk,tov,pf,pts,fg_pct,fg3_pct,ft_pct,mp_per_g,pts_per_g,trb_per_g,ast_per_g
399,Javaris Crittenton,10.6,1.0,19,19,32,1003,158,351,36,101,108,138,,184,65,2,,,460,.450,.356,.783,31.3,14.4,3.7,5.8
400,Jason Smith,12.9,3.0,18,20,87,2429,456,832,8,26,361,481,,173,47,149,,,1281,.548,.308,.751,27.9,14.7,7.9,2.0
401,Daequan Cook,9.1,1.0,19,19,39,770,141,317,54,130,46,66,,40,28,10,,,382,.445,.415,.697,19.7,9.8,4.3,1.0
402,Jared Dudley,13.3,4.0,18,21,130,4727,689,1368,120,329,573,784,,395,176,37,,,2071,.504,.365,.731,36.4,15.9,7.2,3.0
403,Wilson Chandler,13.6,2.0,18,19,59,1834,299,672,47,155,116,176,,72,41,86,,,761,.445,.303,.659,31.1,12.9,7.1,1.2
404,Morris Almond,7.0,4.0,18,21,121,3279,627,1275,153,352,418,507,,119,89,65,,,1825,.492,.435,.824,27.1,15.1,3.5,1.0
405,Aaron Brooks,13.6,4.0,19,22,115,3759,500,1164,205,548,306,367,,470,127,16,,,1511,.430,.374,.834,32.7,13.1,3.5,4.1
406,Arron Afflalo,12.3,3.0,19,21,104,3396,519,1135,209,560,293,375,,202,64,20,,,1540,.457,.373,.781,32.7,14.8,3.5,1.9
407,Alando Tucker,13.0,5.0,18,22,134,4297,798,1663,101,329,520,817,,213,104,29,,,2217,.480,.307,.636,32.1,16.5,5.7,1.6
408,Carl Landry,17.5,3.0,21,23,64,1915,403,669,10,43,359,503,,78,65,52,,,1175,.602,.233,.714,29.9,18.4,7.1,1.2
409,Gabe Pruitt,7.7,3.0,18,20,80,2590,358,817,179,456,207,266,,283,158,16,,,1102,.438,.393,.778,32.4,13.8,3.1,3.5
